"Gift Wrapping","Gift Wrapping"
"Sales Tax","Sales Tax"
"Should not be enabled in production. Sensitive information is logged.","Should not be enabled in production. Sensitive information is logged."
"Klarna Shipping Options","Klarna Shipping Options"
"Product size unit","Product size unit"
"Defines which unit will be used for the product size","Defines which unit will be used for the product size"
"Product length attribute","Product length attribute"
"Custom attribute for the product length attribute","Custom attribute for the product length attribute"
"Product width attribute","Product width attribute"
"Custom attribute for the product width attribute","Custom attribute for the product width attribute"
"Product height attribute","Product height attribute"
"Custom attribute for the product height attribute","Custom attribute for the product height attribute"
